Loading model from C:\Users\steev\OneDrive\Desktop\program files extanctions\Site_Guard\ai_cyber_ext_pro\ml\url_model.joblib
Models loaded successfully.
Testing 186 URLs...
--------------------------------------------------
URL                                                          | Risk      
--------------------------------------------------
https://bancolombiaprestamosonline.zeabur.app/               | BLOCKED
https://wgdxf.vip/                                           | BLOCKED
https://allegrolokalnie.pl-smart8124122.cfd/oferta/479492... | BLOCKED
https://allegrolokalnie.pl-smart8124122.cfd/oferta/479492... | BLOCKED
https://www.facebook-login-page-clone-gamma.vercel.app/      | BLOCKED
http://theforgecalculator.info/                              | BLOCKED
http://pub-1d766f54f60f4b1cb76860717d399ced.r2.dev/index.... | BLOCKED
http://pub-91e8d15d85dc495bb285f75e4701f334.r2.dev/index.... | BLOCKED
http://pub-565215915290475fb1ef83eb23a9fe78.r2.dev/index.... | BLOCKED
http://pub-41dcc2b0c242484a90a139557123d677.r2.dev/index.... | BLOCKED
https://gemini-lxiogin.gitbook.io/                           | BLOCKED
https://parking-pcnst.vip/i                                  | BLOCKED
https://httpss-roblox.co/users/1937185965/profile            | BLOCKED
https://parking-pcnsq.vip/i                                  | BLOCKED
https://www.roblox.tc/games/88270880256027/WORKING-SUSSY-... | BLOCKED
https://parking-pcnsp.vip/i                                  | BLOCKED
https://parking-pcnso.vip/i                                  | BLOCKED
https://allegrolokalnie.pl-smart81247124.cfd/oferta/30510... | BLOCKED
https://allegrolokalnie.pl-smart81247124.cfd/oferta/30510... | BLOCKED
https://conference.nemoofficeclub.co.uk/pf/                  | BLOCKED
https://phpstack-1567785-6099059.cloudwaysapps.com/login.... | BLOCKED
https://web3.pancake.run/info/infinity                       | BLOCKED
https://web3.pancake.run/info/v3/tokens/0x854b5f2bfcc5b7c... | BLOCKED
https://greenprox.cc/go/y264w2/03a4                          | BLOCKED
https://ipfs.io/ipfs/bafkreicjrcv7n4f3734uyyo2acgrj733645... | BLOCKED
https://ahrgenat.wpenginepowered.com/wp-admin/sasn/login.... | BLOCKED
https://spotifysupport.help/pages/num.php/login.php          | BLOCKED
https://www.roblox.tc/games/121864768012064/Fish-It?priva... | BLOCKED
